id,name,co_code,state_id/id,country_id/id
13744,SIMITÍ,13744,base.state_co_04,base.co
13760,SOPLAVIENTO,13760,base.state_co_04,base.co
13780,TALAIGUA NUEVO,13780,base.state_co_04,base.co
13810,TIQUISIO,13810,base.state_co_04,base.co
13836,TURBACO,13836,base.state_co_04,base.co
13838,TURBANÁ,13838,base.state_co_04,base.co
13873,VILLANUEVA,13873,base.state_co_04,base.co
13894,ZAMBRANO,13894,base.state_co_04,base.co
15001,TUNJA,15001,base.state_co_05,base.co
15022,ALMEIDA,15022,base.state_co_05,base.co
15047,AQUITANIA,15047,base.state_co_05,base.co
15051,ARCABUCO,15051,base.state_co_05,base.co
15087,BELÉN,15087,base.state_co_05,base.co
15090,BERBEO,15090,base.state_co_05,base.co
15092,BETÉITIVA,15092,base.state_co_05,base.co
15097,BOAVITA,15097,base.state_co_05,base.co
15104,BOYACÁ,15104,base.state_co_05,base.co
15106,BRICEÑO,15106,base.state_co_05,base.co
15109,BUENAVISTA,15109,base.state_co_05,base.co
15114,BUSBANZÁ,15114,base.state_co_05,base.co
15131,CALDAS,15131,base.state_co_05,base.co
15135,CAMPOHERMOSO,15135,base.state_co_05,base.co
15162,CERINZA,15162,base.state_co_05,base.co
15172,CHINAVITA,15172,base.state_co_05,base.co
15176,CHIQUINQUIRÁ,15176,base.state_co_05,base.co
15180,CHISCAS,15180,base.state_co_05,base.co
15183,CHITA,15183,base.state_co_05,base.co
15185,CHITARAQUE,15185,base.state_co_05,base.co
15187,CHIVATÁ,15187,base.state_co_05,base.co
15189,CIÉNEGA,15189,base.state_co_05,base.co
15204,CÓMBITA,15204,base.state_co_05,base.co
15212,COPER,15212,base.state_co_05,base.co
15215,CORRALES,15215,base.state_co_05,base.co
15218,COVARACHÍA,15218,base.state_co_05,base.co
15223,CUBARÁ,15223,base.state_co_05,base.co
15224,CUCAITA,15224,base.state_co_05,base.co
15226,CUÍTIVA,15226,base.state_co_05,base.co
15232,CHÍQUIZA,15232,base.state_co_05,base.co
15236,CHIVOR,15236,base.state_co_05,base.co
15238,DUITAMA,15238,base.state_co_05,base.co
15244,EL COCUY,15244,base.state_co_05,base.co
15248,EL ESPINO,15248,base.state_co_05,base.co
15272,FIRAVITOBA,15272,base.state_co_05,base.co
15276,FLORESTA,15276,base.state_co_05,base.co
15293,GACHANTIVÁ,15293,base.state_co_05,base.co
15296,GÁMEZA,15296,base.state_co_05,base.co
15299,GARAGOA,15299,base.state_co_05,base.co
15317,GUACAMAYAS,15317,base.state_co_05,base.co
15322,GUATEQUE,15322,base.state_co_05,base.co
15325,GUAYATÁ,15325,base.state_co_05,base.co
15332,GÜICÁN DE LA SIERRA,15332,base.state_co_05,base.co
15362,IZA,15362,base.state_co_05,base.co
15367,JENESANO,15367,base.state_co_05,base.co
15368,JERICÓ,15368,base.state_co_05,base.co
15377,LABRANZAGRANDE,15377,base.state_co_05,base.co
15380,LA CAPILLA,15380,base.state_co_05,base.co
15401,LA VICTORIA,15401,base.state_co_05,base.co
15403,LA UVITA,15403,base.state_co_05,base.co
15407,VILLA DE LEYVA,15407,base.state_co_05,base.co
15425,MACANAL,15425,base.state_co_05,base.co
15442,MARIPÍ,15442,base.state_co_05,base.co
15455,MIRAFLORES,15455,base.state_co_05,base.co
15464,MONGUA,15464,base.state_co_05,base.co
15466,MONGUÍ,15466,base.state_co_05,base.co
15469,MONIQUIRÁ,15469,base.state_co_05,base.co
15476,MOTAVITA,15476,base.state_co_05,base.co
15480,MUZO,15480,base.state_co_05,base.co
15491,NOBSA,15491,base.state_co_05,base.co
15494,NUEVO COLÓN,15494,base.state_co_05,base.co
15500,OICATÁ,15500,base.state_co_05,base.co
15507,OTANCHE,15507,base.state_co_05,base.co
15511,PACHAVITA,15511,base.state_co_05,base.co
15514,PÁEZ,15514,base.state_co_05,base.co
15516,PAIPA,15516,base.state_co_05,base.co
15518,PAJARITO,15518,base.state_co_05,base.co
15522,PANQUEBA,15522,base.state_co_05,base.co
15531,PAUNA,15531,base.state_co_05,base.co
15533,PAYA,15533,base.state_co_05,base.co
15537,PAZ DE RÍO,15537,base.state_co_05,base.co
15542,PESCA,15542,base.state_co_05,base.co
15550,PISBA,15550,base.state_co_05,base.co
15572,PUERTO BOYACÁ,15572,base.state_co_05,base.co
15580,QUÍPAMA,15580,base.state_co_05,base.co
15599,RAMIRIQUÍ,15599,base.state_co_05,base.co
15600,RÁQUIRA,15600,base.state_co_05,base.co
15621,RONDÓN,15621,base.state_co_05,base.co
15632,SABOYÁ,15632,base.state_co_05,base.co
15638,SÁCHICA,15638,base.state_co_05,base.co
15646,SAMACÁ,15646,base.state_co_05,base.co
15660,SAN EDUARDO,15660,base.state_co_05,base.co
15664,SAN JOSÉ DE PARE,15664,base.state_co_05,base.co
15667,SAN LUIS DE GACENO,15667,base.state_co_05,base.co
15673,SAN MATEO,15673,base.state_co_05,base.co
15676,SAN MIGUEL DE SEMA,15676,base.state_co_05,base.co
15681,SAN PABLO DE BORBUR,15681,base.state_co_05,base.co
15686,SANTANA,15686,base.state_co_05,base.co
15690,SANTA MARÍA,15690,base.state_co_05,base.co
15693,SANTA ROSA DE VITERBO,15693,base.state_co_05,base.co
15696,SANTA SOFÍA,15696,base.state_co_05,base.co
15720,SATIVANORTE,15720,base.state_co_05,base.co
15723,SATIVASUR,15723,base.state_co_05,base.co
15740,SIACHOQUE,15740,base.state_co_05,base.co
15753,SOATÁ,15753,base.state_co_05,base.co
15755,SOCOTÁ,15755,base.state_co_05,base.co
15757,SOCHA,15757,base.state_co_05,base.co
15759,SOGAMOSO,15759,base.state_co_05,base.co
15761,SOMONDOCO,15761,base.state_co_05,base.co
15762,SORA,15762,base.state_co_05,base.co
15763,SOTAQUIRÁ,15763,base.state_co_05,base.co
15764,SORACÁ,15764,base.state_co_05,base.co
15774,SUSACÓN,15774,base.state_co_05,base.co
15776,SUTAMARCHÁN,15776,base.state_co_05,base.co
15778,SUTATENZA,15778,base.state_co_05,base.co
15790,TASCO,15790,base.state_co_05,base.co
15798,TENZA,15798,base.state_co_05,base.co
15804,TIBANÁ,15804,base.state_co_05,base.co
15806,TIBASOSA,15806,base.state_co_05,base.co
15808,TINJACÁ,15808,base.state_co_05,base.co
15810,TIPACOQUE,15810,base.state_co_05,base.co
15814,TOCA,15814,base.state_co_05,base.co
15816,TOGÜÍ,15816,base.state_co_05,base.co
15820,TÓPAGA,15820,base.state_co_05,base.co
15822,TOTA,15822,base.state_co_05,base.co
15832,TUNUNGUÁ,15832,base.state_co_05,base.co
15835,TURMEQUÉ,15835,base.state_co_05,base.co
15837,TUTA,15837,base.state_co_05,base.co
15839,TUTAZÁ,15839,base.state_co_05,base.co
15842,ÚMBITA,15842,base.state_co_05,base.co
15861,VENTAQUEMADA,15861,base.state_co_05,base.co
15879,VIRACACHÁ,15879,base.state_co_05,base.co
15897,ZETAQUIRA,15897,base.state_co_05,base.co
17001,MANIZALES,17001,base.state_co_06,base.co
17013,AGUADAS,17013,base.state_co_06,base.co
17042,ANSERMA,17042,base.state_co_06,base.co
17050,ARANZAZU,17050,base.state_co_06,base.co
17088,BELALCÁZAR,17088,base.state_co_06,base.co
17174,CHINCHINÁ,17174,base.state_co_06,base.co
17272,FILADELFIA,17272,base.state_co_06,base.co
17380,LA DORADA,17380,base.state_co_06,base.co
17388,LA MERCED,17388,base.state_co_06,base.co
17433,MANZANARES,17433,base.state_co_06,base.co
17442,MARMATO,17442,base.state_co_06,base.co
17444,MARQUETALIA,17444,base.state_co_06,base.co
17446,MARULANDA,17446,base.state_co_06,base.co
